daunting	['dɔ:ntɪŋ]	adj. 使人畏缩的,使人气馁的,令人怯步的
syntactically	[sin'tæktikli]	adv. 依照句法地,在语句构成上
cursory	['kɜːs(ə)rɪ]	adj. 粗略的,草率的,匆忙的
intent	[ɪn'tent]	n. 意图,目的,含义adj. 专心的,急切的,坚决的
octal	['ɒkt(ə)l]	adj. [数] 八进制的
hexadecimal	[,heksə'desɪm(ə)l]	n. 十六进制adj. 十六进制的
conjunction	[kən'dʒʌŋ(k)ʃ(ə)n]	n. 结合,[语] 连接词,同时发生
exponential	[,ekspə'nenʃ(ə)l]	n. 指数adj. 指数的
exponent	[ɪk'spəʊnənt; ek-]	n. [数] 指数,典型,说明者,说明物n. 倡导者,鼓吹者,代表者,拥护者adj. 说明的
stands for	[]	可以替代
warrant	['wɒr(ə)nt]	n. 根据,证明,正当理由,委任状vt. 保证,担保,批准,辩解
come across	[]	v. 偶遇,无意中发现,讲得清楚明白,给人…印象
mimic	['mɪmɪk]	vt. 模仿,摹拟n. 效颦者,模仿者,仿制品,小丑adj. 模仿的,模拟的,假装的
substitution	[sʌbstɪ'tjuːʃn]	n. 代替,[数] 置换,代替物
tangible	['tæn(d)ʒɪb(ə)l]	n. 有形资产adj. 有形的,切实的,可触摸的
intersect	[ɪntə'sekt]	vt. 横断,横切,贯穿vi. 相交,交叉
metaphor	['metəfə; -fɔː]	n. 暗喻,隐喻,比喻说法
full-blown	[ful'bləun]	adj. 成熟的,（花）盛开的,（帆等）张满的
knack	[næk]	n. 诀窍,本领,熟练技术,巧妙手法
pallette	['pælɪt]	n. 调色板
budget	['bʌdʒɪt]	n. 预算,预算费adj. 廉价的vt. 安排,预定,把…编入预算vi. 编预算,做预算
delve	[delv]	n. 穴,洞vi. 钻研,探究,挖vt. 钻研,探究,挖n. (Delve)人名,(英)德尔夫
full-scale	[fʊl'skeɪl]	adj. 全面的,完全的,照原尺寸的
virtually	[ˈvəːtʃʊəli]	adv. 事实上,几乎,实质上
deviation	[diːvɪ'eɪʃ(ə)n]	n. 偏差,误差,背离
continuous	[kən'tɪnjʊəs]	adj. 连续的,持续的,继续的,连绵不断的
classifier	['klæsifaiə]	n. [测][遥感] 分类器,
unrivaled	[,ʌn'raivəld]	adj. 无敌的,至高无上的,无比的
coefficient	[,kəʊɪ'fɪʃ(ə)nt]	n. [数] 系数,率,协同因素adj. 合作的,共同作用的
resultant	[rɪ'zʌlt(ə)nt]	n. 合力,结果,[化学] 生成物adj. 结果的,合成的
previously	['priviəsli]	adv. 以前,预先,仓促地
discriminate	[dɪ'skrɪmɪneɪt]	vi. 区别,辨别vt. 歧视,区别,辨别
distinctive	[dɪ'stɪŋ(k)tɪv]	adj. 有特色的,与众不同的
facet	['fæsɪt; -et]	n. 面,方面,小平面vt. 在…上琢面
scatterplot	[]	n. 散点图
break down	[]	分解,发生故障,失败,毁掉,制服
in its own right	[]	凭借自身能力,独立地
granular	['grænjʊlə]	adj. 颗粒的,粒状的
fit on	[]	试穿,装上
act on	[]	对…起作用,按照…行事
pop up	[]	v. 突然出现
transpire	[træn'spaɪə; trɑːn-]	vt. 使蒸发,使排出vi. 发生,蒸发,泄露
recap	['riːkæp]	n. 翻新的轮胎vt. 翻新胎面,扼要重述
start out	[start+out]	出发,着手进行
pan out	[pan+out]	成功,结果（是）,证明
for that matter	[]	就此而言,至于那个,说到那一点
stand for	[]	代表,支持,象征,担任…的候选人
check out	[]	检验,结账离开,通过考核,盖章
backport	[]	*
operand	['ɒpərænd]	n. [计] 操作数,[计] 运算对象
short of	[]	缺乏,不足,除…以外
resurface	[riː'sɜːfɪs]	vt. 重铺路面,为…铺设新表面vi. 重新露面,浮上水面
ternary	['tɜːnərɪ]	adj. [数] 三元的,三重的,[数] 三进制的,第三的
obscurity	[əb'skjʊərɪtɪ]	n. 朦胧,阴暗,晦涩,身份低微,不分明
in nature	[]	本质上,事实上
explanatory	[ɪk'splænə,t(ə)rɪ; ek-]	adj. 解释的,说明的
apart from this	[]	除此之外
hierarchies	['haɪərɑːkɪz]	n. 阶层,层级,[数] 分层,分类
in a sense	[]	在某种意义上
merits	['mɛrɪts]	n. 优点（merit的复数）,功绩,是非曲直
literals	[]	n. 字面值,文字（literal的复数）
dichotomy	[daɪ'kɒtəmɪ; dɪ-]	n. 二分法,两分,分裂,双歧分枝
showcasing	[]	v. 展示（showcase的ing形式）
lay out	['lei,aut]	展示,安排,花钱,为…划样,提议
hypothetical	[,haɪpə'θetɪk(ə)l]	adj. 假设的,爱猜想的
mnemonic	[nɪ'mɒnɪk]	adj. 记忆的,助记的,记忆术的
Arsenal	['ɑ:sənəl]	n. 兵工厂,军械库
step over	[]	跨过,单步执行,不进入函式,逐过程
flesh out	[]	充实,具体化
continuation	[kəntɪnjʊ'eɪʃ(ə)n]	n. 继续,续集,延长,附加部分,扩建物
distinct	[dɪ'stɪŋ(k)t]	adj. 明显的,独特的,清楚的,有区别的
prominent	['prɒmɪnənt]	adj. 突出的,显著的,杰出的,卓越的
stub out	[stub+out]	v. 踩熄
exhaustive	[ɪg'zɔːstɪv; eg-]	adj. 详尽的,彻底的,消耗的
representative	[reprɪ'zentətɪv]	n. 代表,典型,众议员adj. 典型的,有代表性的,代议制的
hybrid	['haɪbrɪd]	n. 杂种,混血儿,混合物adj. 混合的,杂种的
in place	[]	适当,适当的,在适当的地方,在恰当的位置
constrain	[kən'streɪn]	vt. 驱使,强迫,束缚
conciseness	[kən'saisnis]	n. 简明,简洁,切除
in sum	[]	总而言之,大体上
polymorphism	[,pɒlɪ'mɔːfɪz(ə)m]	n. 多态性,多形性,同质多晶
concatenation	[kənkætə'neɪʃn]	n. 串联,连结
parse out	[]	解析
positive	[ˈpɒzətɪv]	n. 正数,[摄] 正片adj. 积极的,[数] 正的,[医][化学] 阳性的,确定的,肯定的,实际的,真实的,绝对的
vector	['vektə]	n. 矢量,带菌者,航线vt. 用无线电导航
matrix	['meɪtrɪks]	n. [数] 矩阵,模型,[生物][地质] 基质,母体,子宫,[地质] 脉石
rational	['ræʃ(ə)n(ə)l]	n. 有理数adj. 合理的,理性的
extraneous	[ɪk'streɪnɪəs; ek-]	adj. 外来的,没有关联的,来自体外的
better yet	[]	甚至更好更好的是
step up	[]	提高,增加,走近
stumble	['stʌmb(ə)l]	n. 绊倒,蹒跚而行vi. 踌躇,蹒跚,失足,犯错vt. 使…困惑,使…绊倒
inside out	[]	彻底地,里面翻到外面
exponentiation	[,ekspənenʃɪ'eɪʃ(ə)n]	n. [数] 取幂,求幂,乘方
multiplication	[,mʌltɪplɪ'keɪʃ(ə)n]	n. [数] 乘法,增加
denominator	[dɪ'nɒmɪneɪtə]	n. [数] 分母,命名者,共同特征或共同性质,平均水平或标准
exotic	[ɪg'zɒtɪk; eg-]	adj. 异国的,外来的,异国情调的
appetite	['æpɪtaɪt]	n. 食欲,嗜好
whet	[wet]	n. 磨,开胃物,刺激物vt. 刺激,磨快,促进
curly braces	[]	*
square brackets	[]	n. [语] 方括号,中括号
shrink	[ʃrɪŋk]	vi. 收缩,畏缩n. 收缩,畏缩,<俚>精神病学家vt. 使缩小,使收缩
obviate	['ɒbvɪeɪt]	vt. 排除,避免,消除
better off	[]	adj. 经济状况好的,富裕的,状况好的
intrinsic	[ɪn'trɪnsɪk]	adj. 本质的,固有的
grunt	[grʌnt]	n. 咕哝,呼噜声n. (Grunt)人名,(俄、捷、英)格伦特vt. 咕哝着说vi. 作呼噜声,发哼声
distract	[dɪ'strækt]	vt. 转移,分心
tedious	['tiːdɪəs]	adj. 沉闷的,冗长乏味的
read on	[]	继续读下去
at all	[æt ɔ:l]	（否定句）根本,究竟
embarkation	[,embɑː'keɪʃən]	n. 从事,装载,乘坐
mandatory	['mændət(ə)rɪ]	n. 受托者（等于mandatary）adj. 强制的,托管的,命令的
journey	['dʒɜːnɪ]	n. 旅行,行程vi. 旅行n. (Journey)人名,(英)朱尼,朱妮(女名)
emulate	['ɛmjulet]	vt. 仿真,模仿,尽力赶上,同…竞争n. 仿真,仿效
firm up	[]	回升,转强
get in the way of	[]	妨碍,阻碍
caveats	[]	n. 警告,说明（caveat的复数）
anew	[ə'njuː]	adv. 重新,再
strategy	[ˈstrætədʒɪ]	n. 战略,策略
rote	[rəʊt]	n. 死记硬背,生搬硬套n. (Rote)人名,(德、俄)罗特
tenant	['tenənt]	n. 承租人,房客,佃户,居住者vt. 租借（常用于被动语态）n. (Tenant)人名,(法)特南
apart from	[]	远离,除…之外,且不说,缺少
follow-up	['fɒləʊ ʌp]	n. 随访,跟进,后续行动adj. 后续的,增补的
proverb	['prɒvɜːb]	n. 谚语,格言,众所周知的人或事
paraphrase	['pærəfreɪz]	n. 释义,解释,意译vt. 释义
deprecated	[ˈdeprəkeɪtɪd]	v. 不赞成,弃用,不宜用（deprecate的过去式及过去分词形式）
contemporaries	[]	n. 同龄,同辈人（contemporary复数形式）
scale up	[]	按比例放大,按比例增加
chore	[tʃɔː]	n. 家庭杂务,日常的零星事务,讨厌的或累人的工作
uniformity	[juːnɪ'fɔːmɪtɪ]	n. 均匀性,一致,同样
sculpting	[]	v. 雕刻,雕塑（sculpt的现在分词）n. 雕塑法
sold on	[]	热衷于
inspiring	[ɪn'spaɪərɪŋ]	v. 鼓舞,激发,使感悟（inspire的ing形式）adj. 鼓舞人心的,灌输的,启发灵感的
profound	[prə'faʊnd]	adj. 深厚的,意义深远的,渊博的
instructive	[ɪn'strʌktɪv]	adj. 有益的,教育性的
defer	[dɪ'fɜː]	vt. 使推迟,使延期vi. 推迟,延期,服从n. (Defer)人名,(法)德费
serve as	[]	担任…,充当…,起…的作用
vice versa	[,vaisi'və:sə]	反之亦然
hone	[həʊn]	n. 磨刀石,想念,抱怨vt. 用磨刀石磨n. (Hone)人名,(英)霍恩,(缅)洪,(罗)霍内,(日)本江(姓)
propel	[prə'pel]	vt. 推进,驱使,激励,驱策
retrospective	[retrə(ʊ)'spektɪv]	adj. 回顾的,怀旧的,可追溯的n. 回顾展
clairvoyant	[kleə'vɒɪənt]	n. 千里眼,有洞察力的人adj. 透视的,有洞察力的n. (Clairvoyant)人名,(法)克莱尔瓦扬
chronicle	['krɒnɪk(ə)l]	n. 编年史,年代记,记录vt. 记录,把…载入编年史
typographical	['taipə'græfikəl]	adj. 印刷上的,排字上的
frankly	['fræŋklɪ]	adv. 真诚地,坦白地
citing	[saɪtɪŋ]	n. 引用,引证,举例
stay tuned for	[]	继续关注……
strive	[straɪv]	vi. 努力,奋斗,抗争
skimp	[skɪmp]	vi. 节省,不够用心vt. 克扣,对…不够用心,舍不得给,少给adj. 少的,不足的
companion	[kəm'pænjən]	n. 同伴,朋友,指南,手册vt. 陪伴n. (Companion)人名,(英)康帕宁
retention	[rɪ'tenʃ(ə)n]	n. 保留,扣留,滞留,记忆力,闭尿
merit	['merɪt]	n. 优点,价值,功绩,功过vt. 值得vi. 应受报答
rundown	['rʌndaʊn]	n. 裁减,纲要
insult	[ɪn'sʌlt]	n. 侮辱,凌辱,无礼vt. 侮辱,辱骂,损害
tackle	['tækl]	n. 滑车,装备,用具,扭倒vt. 处理,抓住,固定,与…交涉vi. 扭倒,拦截抢球
gentler	[]	adj. 优雅的,温和的
narrative	['nærətɪv]	n. 叙述,故事,讲述adj. 叙事的,叙述的,叙事体的
descriptors	[]	n. [计] 描述符,叙述元,叙述语（descriptor的复数形式）
didactic	[dɪ'dæktɪk; daɪ-]	adj. 说教的,教诲的
paradigm	['pærə'daɪm]	n. 范例,词形变化表
lexical	['leksɪk(ə)l]	adj. 词汇的,[语] 词典的,词典编纂的
tutorial	[tjuː'tɔːrɪəl]	n. 个别指导adj. 辅导的,家庭教师的,个别指导的
expertise	[,ekspɜː'tiːz]	n. 专门知识,专门技术,专家的意见
prescriptive	[prɪ'skrɪptɪv]	adj. 规定的,规范的,指定的
nominal	['nɒmɪn(ə)l]	n. [语] 名词性词adj. 名义上的,有名无实的,[会计] 票面上的
collectively	[kə'lektivli]	adv. 共同地,全体地
modest	['mɒdɪst]	adj. 谦虚的,谦逊的,适度的,端庄的,羞怯的n. (Modest)人名,(罗)莫代斯特,(德)莫德斯特,(俄)莫杰斯特
unduly	[ʌn'djuːlɪ]	adv. 过度地,不适当地,不正当地
redistribute	[,riːdɪ'strɪbjuːt; riː'dɪs-]	vt. 重新分配,再区分
throttling	['θrɔtliŋ]	n. 节气,节流,油门调节
contiguous	[kən'tɪgjʊəs]	adj. 连续的,邻近的,接触的
resilience	[rɪ'zɪlɪəns]	n. 恢复力,弹力,顺应力
carrying out	[]	实施贯彻执行[法] 履行（carry out的现在分词）
conceptually	[kən'sɛptʃʊəli]	adv. 概念地
empirically	[im'pirikli]	adv. 以经验为主地
expunge	[ɪk'spʌn(d)ʒ; ek-]	vt. 擦去,删掉
in addition to	[]	除…之外
redundancy	[rɪ'dʌnd(ə)nsɪ]	n. [计][数] 冗余（等于redundance）,裁员,人浮于事
designate	['dezɪgneɪt]	vt. 指定,指派,标出,把…定名为adj. 指定的,选定的
bewildering	[bɪ'wɪld(ə)rɪŋ]	adj. 使人困惑的,令人产生混乱的v. 使迷惑（bewilder的ing形式）
be taken	[]	被带到被占用采取
hang around	[]	闲荡,徘徊
analogous	[ə'næləgəs]	adj. 类似的,[昆] 同功的,可比拟的
even out	[]	v. 使平坦,使均等,变正常
evade	[ɪ'veɪd]	vt. 逃避,规避,逃脱vi. 逃避,规避,逃脱
quorum	['kwɔːrəm]	n. 法定人数
vitally	['vaitəli]	adv. 极其,紧要地,生死攸关地
pivoted	['pivətid]	n. 旋开窗adj. 转动的,回转的,轴心式v. 以…为中心旋转,把…置于枢轴上（pivot的过去分词）
summarization	[,sʌmərai'zeiʃən, -ri'z-]	n. [图情] 摘要,概要
concise	[kən'saɪs]	adj. 简明的,简洁的
dissecting	[di'sektiŋ]	adj. 解剖的v. 解剖,仔细检查（dissect的ing形式）
simultaneously	[,sɪml'teɪnɪəslɪ]	adv. 同时地
intimidating	[in'timideitiŋ]	adj. 吓人的
up-front	['ʌpfrʌnt]	adj. 预先的,坦率的
stark contrast	[]	鲜明的对比
criteria	[kraɪ'tɪərɪə]	n. 标准,条件（criterion的复数）
dissect	[daɪ'sekt; dɪ-]	vt. 切细,仔细分析vi. 进行解剖,进行详细分析
semantics	[sɪ'mæntɪks]	n. [语] 语义学,语义论
fictitious	[fɪk'tɪʃəs]	adj. 虚构的,假想的,编造的,假装的
roundtrips	[]	*
It is worth noting	[]	值得注意的是
in one shot	[]	一枪射中一次性一瞬间
under the hood	[]	在引擎盖下面,在底层,在后台
pervasive	[pə'veɪsɪv]	adj. 普遍的,到处渗透的,流行的
debut	['deɪbjuː; -buː]	n. 初次登台,开张vi. 初次登台n. (Debut)人名,(法)德比
feminist	['femənɪst]	n. 女权主义者adj. 主张女权的
overwhelming	[,ovɚ'wɛlmɪŋ]	adj. 压倒性的,势不可挡的v. 压倒,淹没（overwhelm的ing形式）,制服
trailer	['treɪlə]	n. 拖车,[电视] 预告片,追踪者vt. 用拖车载运vi. 乘拖车式活动房屋旅行
trilogy	['trɪlədʒɪ]	n. 三部曲,三部剧
crux	[krʌks]	n. 关键,难题,十字架形,坩埚
rivalries	[]	n. 竞争（rivalry的复数）,对手
superstition	[,suːpə'stɪʃ(ə)n; ,sjuː-]	n. 迷信
scenario	[sɪ'nɑːrɪəʊ]	n. 方案,情节,剧本,设想
tactic	['tæktɪk]	n. 策略,战略adj. 按顺序的,依次排列的
dodge	[dɒdʒ]	n. 躲闪,托词vi. 躲避,避开vt. 躲避,避开n. (Dodge)人名,(英)道奇n. 道奇（汽车品牌）
